Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,ARRG 2,Alberta 2,Audio Test 2,BC 1,BC 2,BayNet 2,Bridge 2,Cactus 2,California 1,Canada 2,Cascades 1;Cascad 1,Comm 1,Comm 2,Fusion 2,Hawaii 1-2,I-5-1,I-84-2,Idaho 1,Idaho ARES 2,Inland 2,Local 1,Local 2,Local Net 1,MPRG 1-2,Manitoba 2,Mountain 2,Michigan 1,Montana 2,Net 2,New Brunswick 2;New Bruns 2,North America 2;North Am 2,Ontario 2,Oregon 1,PNW 1,PNW 2,PNW Regional 2;PNW Reg 2,Parrot 1,PS1-DNU,PS2-DNU,Quebec 2,SNARS 1-2,SoCal 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,TAC 313-2,TAC 314-2,TAC 315-2,TAC 316-2,TAC 317-2,TAC 318-2,TAC 319-2,TAC 8-2,TG 9,TAC Eng 123-2;TAC Eng 2,USA 2,Utah 2,Wash 1,Wash 2,Worldwide 2,Worldwide Eng 2;WW Eng 2,WW Eng 113-2
Snoq/Rattlesnake;SNU,,High,440.4375,445.4375,1,-,-,2,1,-,-,2,-,-,-,1,1,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,2,-,-,-,1,1,2,2,1,1,2,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-
Spirit Lake ID;SPL,,High,444.2375,449.2375,1,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,2,-,-,-,-,1,-,-,2,1,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
Spok/Krell UHF;SPU,,High,444.125,449.125,1,-,-,2,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,1,2,-,-,-,2,-,-,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-,-
Spok/Krell VHF;SKV,,High,147.4125,146.4125,1,-,-,2,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,1,2,-,-,-,2,-,-,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-,-
Spok/Lookout UHF;SPL,,High,444.15,449.15,1,-,-,2,1,-,-,-,-,-,-,1,-,-,-,2,1,-,1,-,-,1,2,-,-,-,2,-,-,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-,-
SpokVall/Ridge;SVR,,High,440.7375,445.7375,1,-,-,2,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,1,2,-,-,-,2,-,-,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-,-
Sultan/Haystack;SUL,,High,444.4,449.4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,1,2,-,1,-,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
Tacoma/Baldi;TBA,,High,441.35,446.35,1,-,-,2,1,-,-,2,-,1,-,1,1,2,2,2,1,-,-,-,-,1,2,-,-,-,2,1,2,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
Tacoma/Ruston;TAR,,High,440.725,445.725,1,-,-,2,-,-,-,2,-,1,-,1,1,-,2,2,1,-,-,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
TheDall/StackrBu;THS,,High,443.1,448.1,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
Tri-Citi/JOJ UHF;TRU,,High,440.7375,445.7375,1,-,-,2,1,-,-,2,-,-,-,1,-,-,-,-,-,2,1,-,-,1,2,-,-,-,-,-,-,2,-,2,-,1,1,2,2,1,1,2,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,2,-,-
Tri-Citi/JOJ VHF;TRV,,High,147.425,146.425,1,-,-,2,1,-,-,2,-,-,-,1,-,-,-,-,-,2,1,-,-,1,2,-,-,-,-,-,-,2,-,2,-,1,1,2,2,1,1,2,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,2,-,-
Tulalip/Tulalip;TUL,,High,444.1,449.1,1,-,-,1,1,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,1,2,-,1,-,-,-,1,2,-,-,-,1,1,2,2,1,1,2,-,-,-,2,2,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
VancouverBC/Seym;BCS,,High,443.4,448.4,1,-,2,-,1,2,-,2,-,-,2,-,1,2,-,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,2,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,2,2,2
Wenatchee/LilBad;WEN,,High,443.75,448.75,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,2,-,2,-,1,1,2,2,1,1,2,-,-,-,2,2,-,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,-,2,-
WestVancBC/Amble;BCA,,High,443.85,448.85,1,-,2,-,1,2,-,2,-,-,2,-,1,2,-,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,2,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,2,2,2
Whidbey Island;WHI,,High,440.725,445.725,1,-,-,2,-,-,-,2,-,-,-,1,-,-,-,-,1,-,1,-,-,1,2,-,-,-,-,-,-,2,-,-,-,1,1,2,2,1,1,2,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,2,1,-,2,-,1,2,-,-,-
WhislerBC/Black;BCB,,High,443.85,443.85,2,-,2,-,1,2,-,2,-,-,2,-,1,2,-,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,2,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,2,2,2
WWARA 440.7000;WW1,,Low,440.7,445.7,1,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,2,2,1,1,2,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
WWARA 440.7125;WW2,,Low,440.7125,445.7125,1,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,2,2,1,1,2,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
WWARA 440.7250;WW3,,Low,440.725,445.725,1,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,2,2,1,1,2,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
